alpha,degree,dummy,kernel,output_dim,scale,seed,test_score,training_time,validation_score,warnings
100.0,0.5,0.0,opu,10000.0,1.0,0.0,0.8816,228.8261513710022,0.8787166666666667,7.0
10.0,0.5,0.0,opu,10000.0,1.0,0.0,0.8812,228.8261513710022,0.8761333333333333,7.0
1.0,0.5,0.0,opu,10000.0,1.0,0.0,0.8812,228.8261513710022,0.8755666666666667,7.0
0.1,0.5,0.0,opu,10000.0,1.0,0.0,0.8812,228.8261513710022,0.8754833333333333,7.0
0.01,0.5,0.0,opu,10000.0,1.0,0.0,0.8812,228.8261513710022,0.8755,7.0
0.0,0.5,0.0,opu,10000.0,1.0,0.0,0.8812,228.8261513710022,0.8755,7.0
100.0,0.5,0.0,opu,10000.0,0.1,0.0,0.8783,224.19162130355835,0.8798166666666667,6.0
10.0,0.5,0.0,opu,10000.0,0.1,0.0,0.8816,224.19162130355835,0.8822166666666666,6.0
1.0,0.5,0.0,opu,10000.0,0.1,0.0,0.8815,224.19162130355835,0.8787666666666667,6.0
0.1,0.5,0.0,opu,10000.0,0.1,0.0,0.8812,224.19162130355835,0.8761,6.0
0.01,0.5,0.0,opu,10000.0,0.1,0.0,0.8812,224.19162130355835,0.8756166666666667,6.0
0.0,0.5,0.0,opu,10000.0,0.1,0.0,0.8812,224.19162130355835,0.8755166666666667,6.0
100.0,0.5,0.0,opu,10000.0,0.01,0.0,0.8341,219.74582934379578,0.8291166666666666,4.0
10.0,0.5,0.0,opu,10000.0,0.01,0.0,0.8638,219.74582934379578,0.8642,4.0
1.0,0.5,0.0,opu,10000.0,0.01,0.0,0.8783,219.74582934379578,0.8798166666666667,4.0
0.1,0.5,0.0,opu,10000.0,0.01,0.0,0.8815,219.74582934379578,0.8821666666666667,4.0
0.01,0.5,0.0,opu,10000.0,0.01,0.0,0.8816,219.74582934379578,0.8787666666666667,4.0
0.0,0.5,0.0,opu,10000.0,0.01,0.0,0.8812,219.74582934379578,0.8754166666666666,4.0
100.0,0.5,0.0,opu,10000.0,0.001,0.0,0.729,222.0702440738678,0.7095833333333333,1.0
10.0,0.5,0.0,opu,10000.0,0.001,0.0,0.7931,222.0702440738678,0.7829,1.0
1.0,0.5,0.0,opu,10000.0,0.001,0.0,0.8341,222.0702440738678,0.8291166666666666,1.0
0.1,0.5,0.0,opu,10000.0,0.001,0.0,0.8638,222.0702440738678,0.8642,1.0
0.01,0.5,0.0,opu,10000.0,0.001,0.0,0.8783,222.0702440738678,0.8798166666666667,1.0
0.0,0.5,0.0,opu,10000.0,0.001,0.0,0.8812,222.0702440738678,0.87545,1.0
100.0,0.5,0.0,opu,10000.0,0.0001,0.0,0.6277,225.44809222221375,0.6319166666666667,2.0
10.0,0.5,0.0,opu,10000.0,0.0001,0.0,0.6562,225.44809222221375,0.6481333333333333,2.0
1.0,0.5,0.0,opu,10000.0,0.0001,0.0,0.729,225.44809222221375,0.7096,2.0
0.1,0.5,0.0,opu,10000.0,0.0001,0.0,0.7931,225.44809222221375,0.7829,2.0
0.01,0.5,0.0,opu,10000.0,0.0001,0.0,0.8341,225.44809222221375,0.8291166666666666,2.0
0.0,0.5,0.0,opu,10000.0,0.0001,0.0,0.8812,225.44809222221375,0.8754166666666666,2.0
100.0,0.5,0.0,opu,10000.0,1e-05,0.0,0.6257,220.69671058654785,0.6291833333333333,2.0
10.0,0.5,0.0,opu,10000.0,1e-05,0.0,0.6257,220.69671058654785,0.6295166666666666,2.0
1.0,0.5,0.0,opu,10000.0,1e-05,0.0,0.6277,220.69671058654785,0.6319166666666667,2.0
0.1,0.5,0.0,opu,10000.0,1e-05,0.0,0.6562,220.69671058654785,0.6481333333333333,2.0
0.01,0.5,0.0,opu,10000.0,1e-05,0.0,0.729,220.69671058654785,0.7096,2.0
0.0,0.5,0.0,opu,10000.0,1e-05,0.0,0.8813,220.69671058654785,0.8754333333333333,2.0
100.0,0.5,0.0,opu,10000.0,1.0,1.0,0.8837,219.5874948501587,0.87845,7.0
10.0,0.5,0.0,opu,10000.0,1.0,1.0,0.8839,219.5874948501587,0.8755166666666667,7.0
1.0,0.5,0.0,opu,10000.0,1.0,1.0,0.8839,219.5874948501587,0.87525,7.0
0.1,0.5,0.0,opu,10000.0,1.0,1.0,0.8838,219.5874948501587,0.8752,7.0
0.01,0.5,0.0,opu,10000.0,1.0,1.0,0.884,219.5874948501587,0.87515,7.0
0.0,0.5,0.0,opu,10000.0,1.0,1.0,0.8837,219.5874948501587,0.8752,7.0
100.0,0.5,0.0,opu,10000.0,0.1,1.0,0.8778,218.94867181777954,0.8797166666666667,6.0
10.0,0.5,0.0,opu,10000.0,0.1,1.0,0.8831,218.94867181777954,0.8825833333333334,6.0
1.0,0.5,0.0,opu,10000.0,0.1,1.0,0.8836,218.94867181777954,0.87845,6.0
0.1,0.5,0.0,opu,10000.0,0.1,1.0,0.8839,218.94867181777954,0.8754333333333333,6.0
0.01,0.5,0.0,opu,10000.0,0.1,1.0,0.884,218.94867181777954,0.87525,6.0
0.0,0.5,0.0,opu,10000.0,0.1,1.0,0.8838,218.94867181777954,0.8753333333333333,6.0
100.0,0.5,0.0,opu,10000.0,0.01,1.0,0.8325,223.10814929008484,0.8290166666666666,4.0
10.0,0.5,0.0,opu,10000.0,0.01,1.0,0.8636,223.10814929008484,0.8638333333333333,4.0
1.0,0.5,0.0,opu,10000.0,0.01,1.0,0.8778,223.10814929008484,0.8797166666666667,4.0
0.1,0.5,0.0,opu,10000.0,0.01,1.0,0.8831,223.10814929008484,0.8825833333333334,4.0
0.01,0.5,0.0,opu,10000.0,0.01,1.0,0.8837,223.10814929008484,0.87845,4.0
0.0,0.5,0.0,opu,10000.0,0.01,1.0,0.884,223.10814929008484,0.8752666666666666,4.0
100.0,0.5,0.0,opu,10000.0,0.001,1.0,0.7304,226.81526970863342,0.7121,1.0
10.0,0.5,0.0,opu,10000.0,0.001,1.0,0.7925,226.81526970863342,0.78405,1.0
1.0,0.5,0.0,opu,10000.0,0.001,1.0,0.8325,226.81526970863342,0.8290166666666666,1.0
0.1,0.5,0.0,opu,10000.0,0.001,1.0,0.8636,226.81526970863342,0.8638333333333333,1.0
0.01,0.5,0.0,opu,10000.0,0.001,1.0,0.8778,226.81526970863342,0.8797166666666667,1.0
0.0,0.5,0.0,opu,10000.0,0.001,1.0,0.8839,226.81526970863342,0.8752333333333333,1.0
100.0,0.5,0.0,opu,10000.0,0.0001,1.0,0.6289,222.01485061645508,0.6299166666666667,2.0
10.0,0.5,0.0,opu,10000.0,0.0001,1.0,0.6563,222.01485061645508,0.6463666666666666,2.0
1.0,0.5,0.0,opu,10000.0,0.0001,1.0,0.7304,222.01485061645508,0.7121,2.0
0.1,0.5,0.0,opu,10000.0,0.0001,1.0,0.7925,222.01485061645508,0.78405,2.0
0.01,0.5,0.0,opu,10000.0,0.0001,1.0,0.8325,222.01485061645508,0.8290166666666666,2.0
0.0,0.5,0.0,opu,10000.0,0.0001,1.0,0.8838,222.01485061645508,0.8752166666666666,2.0
100.0,0.5,0.0,opu,10000.0,1e-05,1.0,0.624,222.0782241821289,0.6278666666666667,2.0
10.0,0.5,0.0,opu,10000.0,1e-05,1.0,0.624,222.0782241821289,0.6282,2.0
1.0,0.5,0.0,opu,10000.0,1e-05,1.0,0.6289,222.0782241821289,0.6299166666666667,2.0
0.1,0.5,0.0,opu,10000.0,1e-05,1.0,0.6563,222.0782241821289,0.6463666666666666,2.0
0.01,0.5,0.0,opu,10000.0,1e-05,1.0,0.7304,222.0782241821289,0.7121,2.0
0.0,0.5,0.0,opu,10000.0,1e-05,1.0,0.884,222.0782241821289,0.8752166666666666,2.0
100.0,0.5,0.0,opu,10000.0,1.0,2.0,0.8806,222.83158659934998,0.8798833333333334,7.0
10.0,0.5,0.0,opu,10000.0,1.0,2.0,0.8805,222.83158659934998,0.8768666666666667,7.0
1.0,0.5,0.0,opu,10000.0,1.0,2.0,0.8805,222.83158659934998,0.8765666666666667,7.0
0.1,0.5,0.0,opu,10000.0,1.0,2.0,0.8806,222.83158659934998,0.8766166666666667,7.0
0.01,0.5,0.0,opu,10000.0,1.0,2.0,0.8805,222.83158659934998,0.87655,7.0
0.0,0.5,0.0,opu,10000.0,1.0,2.0,0.8805,222.83158659934998,0.87655,7.0
100.0,0.5,0.0,opu,10000.0,0.1,2.0,0.8771,216.41607236862183,0.88025,6.0
10.0,0.5,0.0,opu,10000.0,0.1,2.0,0.8802,216.41607236862183,0.8836666666666667,6.0
1.0,0.5,0.0,opu,10000.0,0.1,2.0,0.8806,216.41607236862183,0.8798666666666667,6.0
0.1,0.5,0.0,opu,10000.0,0.1,2.0,0.8805,216.41607236862183,0.8768833333333333,6.0
0.01,0.5,0.0,opu,10000.0,0.1,2.0,0.8805,216.41607236862183,0.8766,6.0
0.0,0.5,0.0,opu,10000.0,0.1,2.0,0.8806,216.41607236862183,0.8766,6.0
100.0,0.5,0.0,opu,10000.0,0.01,2.0,0.8349,224.41047477722168,0.8283,4.0
10.0,0.5,0.0,opu,10000.0,0.01,2.0,0.8641,224.41047477722168,0.8646166666666667,4.0
1.0,0.5,0.0,opu,10000.0,0.01,2.0,0.8771,224.41047477722168,0.88025,4.0
0.1,0.5,0.0,opu,10000.0,0.01,2.0,0.8802,224.41047477722168,0.88365,4.0
0.01,0.5,0.0,opu,10000.0,0.01,2.0,0.8806,224.41047477722168,0.8798,4.0
0.0,0.5,0.0,opu,10000.0,0.01,2.0,0.8805,224.41047477722168,0.8765833333333334,4.0
100.0,0.5,0.0,opu,10000.0,0.001,2.0,0.7288,223.88029050827026,0.7114666666666667,1.0
10.0,0.5,0.0,opu,10000.0,0.001,2.0,0.7892,223.88029050827026,0.78245,1.0
1.0,0.5,0.0,opu,10000.0,0.001,2.0,0.8349,223.88029050827026,0.8283,1.0
0.1,0.5,0.0,opu,10000.0,0.001,2.0,0.8641,223.88029050827026,0.8646166666666667,1.0
0.01,0.5,0.0,opu,10000.0,0.001,2.0,0.8771,223.88029050827026,0.8802333333333333,1.0
0.0,0.5,0.0,opu,10000.0,0.001,2.0,0.8805,223.88029050827026,0.8765833333333334,1.0
100.0,0.5,0.0,opu,10000.0,0.0001,2.0,0.6294,219.04854083061218,0.6317333333333334,2.0
10.0,0.5,0.0,opu,10000.0,0.0001,2.0,0.6577,219.04854083061218,0.6476166666666666,2.0
1.0,0.5,0.0,opu,10000.0,0.0001,2.0,0.7288,219.04854083061218,0.7114666666666667,2.0
0.1,0.5,0.0,opu,10000.0,0.0001,2.0,0.7892,219.04854083061218,0.78245,2.0
0.01,0.5,0.0,opu,10000.0,0.0001,2.0,0.8349,219.04854083061218,0.8283,2.0
0.0,0.5,0.0,opu,10000.0,0.0001,2.0,0.8805,219.04854083061218,0.8765666666666667,2.0
100.0,0.5,0.0,opu,10000.0,1e-05,2.0,0.6269,220.69205331802368,0.6295166666666666,2.0
10.0,0.5,0.0,opu,10000.0,1e-05,2.0,0.6268,220.69205331802368,0.6298166666666667,2.0
1.0,0.5,0.0,opu,10000.0,1e-05,2.0,0.6294,220.69205331802368,0.63175,2.0
0.1,0.5,0.0,opu,10000.0,1e-05,2.0,0.6577,220.69205331802368,0.6476166666666666,2.0
0.01,0.5,0.0,opu,10000.0,1e-05,2.0,0.7288,220.69205331802368,0.7114666666666667,2.0
0.0,0.5,0.0,opu,10000.0,1e-05,2.0,0.8805,220.69205331802368,0.8765333333333334,2.0
100.0,0.5,0.0,opu,10000.0,1.0,3.0,0.8823,222.65404295921326,0.8782166666666666,7.0
10.0,0.5,0.0,opu,10000.0,1.0,3.0,0.8821,222.65404295921326,0.87575,7.0
1.0,0.5,0.0,opu,10000.0,1.0,3.0,0.8822,222.65404295921326,0.8752833333333333,7.0
0.1,0.5,0.0,opu,10000.0,1.0,3.0,0.8821,222.65404295921326,0.8752666666666666,7.0
0.01,0.5,0.0,opu,10000.0,1.0,3.0,0.8821,222.65404295921326,0.8752666666666666,7.0
0.0,0.5,0.0,opu,10000.0,1.0,3.0,0.8821,222.65404295921326,0.8753166666666666,7.0
100.0,0.5,0.0,opu,10000.0,0.1,3.0,0.878,219.1917004585266,0.8801,6.0
10.0,0.5,0.0,opu,10000.0,0.1,3.0,0.8825,219.1917004585266,0.8823833333333333,6.0
1.0,0.5,0.0,opu,10000.0,0.1,3.0,0.8823,219.1917004585266,0.8782166666666666,6.0
0.1,0.5,0.0,opu,10000.0,0.1,3.0,0.8822,219.1917004585266,0.87575,6.0
0.01,0.5,0.0,opu,10000.0,0.1,3.0,0.8821,219.1917004585266,0.8753166666666666,6.0
0.0,0.5,0.0,opu,10000.0,0.1,3.0,0.8822,219.1917004585266,0.8753333333333333,6.0
100.0,0.5,0.0,opu,10000.0,0.01,3.0,0.8336,220.97591400146484,0.82925,4.0
10.0,0.5,0.0,opu,10000.0,0.01,3.0,0.8633,220.97591400146484,0.8644666666666667,4.0
1.0,0.5,0.0,opu,10000.0,0.01,3.0,0.878,220.97591400146484,0.8801,4.0
0.1,0.5,0.0,opu,10000.0,0.01,3.0,0.8826,220.97591400146484,0.8823833333333333,4.0
0.01,0.5,0.0,opu,10000.0,0.01,3.0,0.8823,220.97591400146484,0.8782,4.0
0.0,0.5,0.0,opu,10000.0,0.01,3.0,0.8821,220.97591400146484,0.8752666666666666,4.0
100.0,0.5,0.0,opu,10000.0,0.001,3.0,0.7307,222.05789303779602,0.7105333333333334,1.0
10.0,0.5,0.0,opu,10000.0,0.001,3.0,0.7914,222.05789303779602,0.7836166666666666,1.0
1.0,0.5,0.0,opu,10000.0,0.001,3.0,0.8336,222.05789303779602,0.82925,1.0
0.1,0.5,0.0,opu,10000.0,0.001,3.0,0.8633,222.05789303779602,0.8644666666666667,1.0
0.01,0.5,0.0,opu,10000.0,0.001,3.0,0.878,222.05789303779602,0.8801,1.0
0.0,0.5,0.0,opu,10000.0,0.001,3.0,0.8823,222.05789303779602,0.8752666666666666,1.0
100.0,0.5,0.0,opu,10000.0,0.0001,3.0,0.6315,219.5443081855774,0.6339166666666667,2.0
10.0,0.5,0.0,opu,10000.0,0.0001,3.0,0.6595,219.5443081855774,0.65015,2.0
1.0,0.5,0.0,opu,10000.0,0.0001,3.0,0.7307,219.5443081855774,0.7105333333333334,2.0
0.1,0.5,0.0,opu,10000.0,0.0001,3.0,0.7914,219.5443081855774,0.7836166666666666,2.0
0.01,0.5,0.0,opu,10000.0,0.0001,3.0,0.8336,219.5443081855774,0.82925,2.0
0.0,0.5,0.0,opu,10000.0,0.0001,3.0,0.8821,219.5443081855774,0.8753333333333333,2.0
100.0,0.5,0.0,opu,10000.0,1e-05,3.0,0.6278,219.94535779953003,0.6318,2.0
10.0,0.5,0.0,opu,10000.0,1e-05,3.0,0.6281,219.94535779953003,0.6321833333333333,2.0
1.0,0.5,0.0,opu,10000.0,1e-05,3.0,0.6315,219.94535779953003,0.6339166666666667,2.0
0.1,0.5,0.0,opu,10000.0,1e-05,3.0,0.6595,219.94535779953003,0.65015,2.0
0.01,0.5,0.0,opu,10000.0,1e-05,3.0,0.7307,219.94535779953003,0.7105333333333334,2.0
0.0,0.5,0.0,opu,10000.0,1e-05,3.0,0.8821,219.94535779953003,0.8752333333333333,2.0
100.0,0.5,0.0,opu,10000.0,1.0,4.0,0.8837,224.13264632225037,0.8798333333333334,7.0
10.0,0.5,0.0,opu,10000.0,1.0,4.0,0.8841,224.13264632225037,0.8767166666666667,7.0
1.0,0.5,0.0,opu,10000.0,1.0,4.0,0.8842,224.13264632225037,0.8765,7.0
0.1,0.5,0.0,opu,10000.0,1.0,4.0,0.8841,224.13264632225037,0.8764666666666666,7.0
0.01,0.5,0.0,opu,10000.0,1.0,4.0,0.8841,224.13264632225037,0.8765166666666667,7.0
0.0,0.5,0.0,opu,10000.0,1.0,4.0,0.8841,224.13264632225037,0.87655,7.0
100.0,0.5,0.0,opu,10000.0,0.1,4.0,0.8784,222.98636078834534,0.8797,6.0
10.0,0.5,0.0,opu,10000.0,0.1,4.0,0.8832,222.98636078834534,0.8835666666666666,6.0
1.0,0.5,0.0,opu,10000.0,0.1,4.0,0.8837,222.98636078834534,0.8798,6.0
0.1,0.5,0.0,opu,10000.0,0.1,4.0,0.884,222.98636078834534,0.8767833333333334,6.0
0.01,0.5,0.0,opu,10000.0,0.1,4.0,0.8841,222.98636078834534,0.8765166666666667,6.0
0.0,0.5,0.0,opu,10000.0,0.1,4.0,0.8842,222.98636078834534,0.8764833333333333,6.0
100.0,0.5,0.0,opu,10000.0,0.01,4.0,0.8345,222.91398763656616,0.8290833333333333,4.0
10.0,0.5,0.0,opu,10000.0,0.01,4.0,0.8649,222.91398763656616,0.8646833333333334,4.0
1.0,0.5,0.0,opu,10000.0,0.01,4.0,0.8784,222.91398763656616,0.8797,4.0
0.1,0.5,0.0,opu,10000.0,0.01,4.0,0.8832,222.91398763656616,0.88355,4.0
0.01,0.5,0.0,opu,10000.0,0.01,4.0,0.8837,222.91398763656616,0.87985,4.0
0.0,0.5,0.0,opu,10000.0,0.01,4.0,0.8841,222.91398763656616,0.8764833333333333,4.0
100.0,0.5,0.0,opu,10000.0,0.001,4.0,0.729,224.28810262680054,0.7099,1.0
10.0,0.5,0.0,opu,10000.0,0.001,4.0,0.7918,224.28810262680054,0.7839833333333334,1.0
1.0,0.5,0.0,opu,10000.0,0.001,4.0,0.8345,224.28810262680054,0.8290833333333333,1.0
0.1,0.5,0.0,opu,10000.0,0.001,4.0,0.8649,224.28810262680054,0.8646833333333334,1.0
0.01,0.5,0.0,opu,10000.0,0.001,4.0,0.8784,224.28810262680054,0.8797,1.0
0.0,0.5,0.0,opu,10000.0,0.001,4.0,0.884,224.28810262680054,0.8764833333333333,1.0
100.0,0.5,0.0,opu,10000.0,0.0001,4.0,0.6298,222.46162629127502,0.6319666666666667,2.0
10.0,0.5,0.0,opu,10000.0,0.0001,4.0,0.6582,222.46162629127502,0.6476166666666666,2.0
1.0,0.5,0.0,opu,10000.0,0.0001,4.0,0.729,222.46162629127502,0.7099,2.0
0.1,0.5,0.0,opu,10000.0,0.0001,4.0,0.7918,222.46162629127502,0.7839833333333334,2.0
0.01,0.5,0.0,opu,10000.0,0.0001,4.0,0.8345,222.46162629127502,0.8290833333333333,2.0
0.0,0.5,0.0,opu,10000.0,0.0001,4.0,0.8841,222.46162629127502,0.8764,2.0
100.0,0.5,0.0,opu,10000.0,1e-05,4.0,0.6265,225.8210015296936,0.6297333333333334,2.0
10.0,0.5,0.0,opu,10000.0,1e-05,4.0,0.6269,225.8210015296936,0.6301,2.0
1.0,0.5,0.0,opu,10000.0,1e-05,4.0,0.6298,225.8210015296936,0.6319666666666667,2.0
0.1,0.5,0.0,opu,10000.0,1e-05,4.0,0.6582,225.8210015296936,0.6476166666666666,2.0
0.01,0.5,0.0,opu,10000.0,1e-05,4.0,0.729,225.8210015296936,0.7099,2.0
0.0,0.5,0.0,opu,10000.0,1e-05,4.0,0.8841,225.8210015296936,0.8765166666666667,2.0
